City,Date,gross income,Product line,Total,cost price,Quantity
Mandalay,2019-01-01,8.23,Food and beverages,172.75,164.52,3
Mandalay,2019-01-01,2.9,Fashion accessories,60.82,57.92,4
Mandalay,2019-01-01,5.1,Electronic accessories,107.14,102.04,4
Mandalay,2019-01-02,28.12,Sports and travel,590.44,562.32,6
Mandalay,2019-01-02,4.03,Home and lifestyle,84.63,80.6,2
Mandalay,2019-01-03,13.2,Health and beauty,277.14,263.94,3
Mandalay,2019-01-03,3.32,Home and lifestyle,69.72,66.4,2
Mandalay,2019-01-03,1.68,Fashion accessories,35.2,33.52,1
Mandalay,2019-01-04,22.09,Food and beverages,463.89,441.8,5
Mandalay,2019-01-04,23.53,Fashion accessories,494.18,470.65,5
Mandalay,2019-01-04,35.13,Sports and travel,737.76,702.63,9
Mandalay,2019-01-04,33.51,Sports and travel,703.75,670.24,8
Mandalay,2019-01-05,12.05,Home and lifestyle,253.01,240.96,8
Mandalay,2019-01-05,4.34,Home and lifestyle,91.06,86.72,1
Mandalay,2019-01-05,20.74,Sports and travel,435.46,414.72,6
Mandalay,2019-01-05,18.79,Electronic accessories,394.63,375.84,4
Mandalay,2019-01-06,25.51,Health and beauty,535.72,510.21,9
Mandalay,2019-01-06,9.0,Food and beverages,189.09,180.09,9
Mandalay,2019-01-06,5.68,Electronic accessories,119.26,113.58,6
Mandalay,2019-01-06,3.57,Fashion accessories,75.05,71.48,4
Mandalay,2019-01-06,1.62,Home and lifestyle,33.94,32.32,2
Mandalay,2019-01-07,24.78,Sports and travel,520.41,495.63,9
Mandalay,2019-01-08,15.15,Health and beauty,318.11,302.96,4
Mandalay,2019-01-08,29.28,Fashion accessories,614.94,585.66,6
Mandalay,2019-01-08,7.28,Food and beverages,152.84,145.56,3
Mandalay,2019-01-08,14.5,Food and beverages,304.54,290.04,3
Mandalay,2019-01-09,23.1,Health and beauty,485.04,461.94,6
Mandalay,2019-01-10,28.96,Health and beauty,608.2,579.24,9
Mandalay,2019-01-10,43.94,Health and beauty,922.63,878.7,10
Mandalay,2019-01-11,24.81,Home and lifestyle,521.01,496.2,6
Mandalay,2019-01-11,10.62,Health and beauty,223.07,212.45,7
Mandalay,2019-01-12,1.65,Sports and travel,34.63,32.98,2
Mandalay,2019-01-12,25.49,Fashion accessories,535.37,509.88,7
Mandalay,2019-01-12,5.49,Fashion accessories,115.19,109.7,5
Mandalay,2019-01-12,2.57,Fashion accessories,53.93,51.36,1
